,Symbol,Order,Shares
2010-09-01,JPM,BUY,0.0
2010-09-02,JPM,BUY,0.0
2010-09-03,JPM,BUY,0.0
2010-09-07,JPM,BUY,0.0
2010-09-08,JPM,BUY,0.0
2010-09-09,JPM,BUY,0.0
2010-09-10,JPM,BUY,0.0
2010-09-13,JPM,BUY,0.0
2010-09-14,JPM,BUY,0.0
2010-09-15,JPM,BUY,0.0
2010-09-16,JPM,BUY,0.0
2010-09-17,JPM,BUY,0.0
2010-09-20,JPM,BUY,0.0
2010-09-21,JPM,BUY,0.0
2010-09-22,JPM,BUY,0.0
2010-09-23,JPM,BUY,0.0
2010-09-24,JPM,BUY,0.0
2010-09-27,JPM,BUY,0.0
2010-09-28,JPM,BUY,0.0
2010-09-29,JPM,BUY,0.0
2010-09-30,JPM,BUY,0.0
2010-10-01,JPM,BUY,0.0
2010-10-04,JPM,BUY,0.0
2010-10-05,JPM,BUY,0.0
2010-10-06,JPM,BUY,0.0
2010-10-07,JPM,BUY,0.0
2010-10-08,JPM,BUY,0.0
2010-10-11,JPM,BUY,0.0
2010-10-12,JPM,BUY,0.0
2010-10-13,JPM,BUY,0.0
2010-10-14,JPM,BUY,0.0
2010-10-15,JPM,BUY,0.0
2010-10-18,JPM,BUY,0.0
2010-10-19,JPM,BUY,0.0
2010-10-20,JPM,BUY,0.0
2010-10-21,JPM,BUY,0.0
2010-10-22,JPM,BUY,0.0
2010-10-25,JPM,BUY,0.0
2010-10-26,JPM,BUY,0.0
2010-10-27,JPM,BUY,0.0
2010-10-28,JPM,BUY,0.0
2010-10-29,JPM,BUY,0.0
2010-11-01,JPM,BUY,0.0
2010-11-02,JPM,BUY,0.0
2010-11-03,JPM,BUY,0.0
2010-11-04,JPM,BUY,0.0
2010-11-05,JPM,BUY,0.0
2010-11-08,JPM,BUY,0.0
2010-11-09,JPM,BUY,0.0
2010-11-10,JPM,BUY,0.0
2010-11-11,JPM,BUY,0.0
2010-11-12,JPM,BUY,0.0
2010-11-15,JPM,BUY,0.0
2010-11-16,JPM,BUY,0.0
2010-11-17,JPM,BUY,0.0
2010-11-18,JPM,BUY,0.0
2010-11-19,JPM,BUY,0.0
2010-11-22,JPM,BUY,0.0
2010-11-23,JPM,BUY,0.0
2010-11-24,JPM,BUY,0.0
2010-11-26,JPM,BUY,0.0
2010-11-29,JPM,BUY,0.0
2010-11-30,JPM,BUY,0.0
2010-12-01,JPM,BUY,0.0
2010-12-02,JPM,BUY,0.0
2010-12-03,JPM,BUY,0.0
2010-12-06,JPM,BUY,0.0
2010-12-07,JPM,BUY,0.0
2010-12-08,JPM,BUY,0.0
2010-12-09,JPM,BUY,0.0
2010-12-10,JPM,BUY,0.0
2010-12-13,JPM,BUY,0.0
2010-12-14,JPM,BUY,0.0
2010-12-15,JPM,BUY,0.0
2010-12-16,JPM,BUY,0.0
2010-12-17,JPM,BUY,0.0
2010-12-20,JPM,BUY,0.0
2010-12-21,JPM,BUY,0.0
2010-12-22,JPM,BUY,0.0
2010-12-23,JPM,BUY,0.0
2010-12-27,JPM,BUY,0.0
2010-12-28,JPM,BUY,0.0
2010-12-29,JPM,BUY,0.0
2010-12-30,JPM,BUY,0.0
2010-12-31,JPM,BUY,0.0
2011-01-03,JPM,BUY,0.0
2011-01-04,JPM,BUY,0.0
2011-01-05,JPM,BUY,0.0
2011-01-06,JPM,BUY,0.0
2011-01-07,JPM,BUY,0.0
2011-01-10,JPM,BUY,0.0
2011-01-11,JPM,BUY,0.0
2011-01-12,JPM,BUY,0.0
2011-01-13,JPM,BUY,0.0
2011-01-14,JPM,BUY,0.0
2011-01-18,JPM,BUY,0.0
2011-01-19,JPM,BUY,0.0
2011-01-20,JPM,BUY,0.0
2011-01-21,JPM,BUY,0.0
2011-01-24,JPM,BUY,0.0
2011-01-25,JPM,BUY,0.0
2011-01-26,JPM,BUY,0.0
2011-01-27,JPM,BUY,0.0
2011-01-28,JPM,BUY,0.0
2011-01-31,JPM,BUY,0.0
2011-02-01,JPM,BUY,0.0
